num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
23631,1.3015640063285703,3.744873544797578e-05,0.005756761103813906,713059360.8489455,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
24979,1.3062817623653669,0.004755204772244559,0.7515480418632532,44224.35960744251,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
26405,1.3027204050985526,0.0011938475054302788,0.1939956278569044,701620.5284754918,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
27911,1.3010384356286302,0.0004881219644921053,0.08154851347818766,4197041.84381133,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
29503,1.2966579974657615,0.00486856012736081,0.8362451800686822,42188.97013592786,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
31187,1.3172353481657515,0.015708790572629194,2.774147508664792,4052.4204698916565,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
32966,1.30391956106555,0.0023930034724277682,0.4344866690678173,174627.78378920216,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
34847,1.2977596780162066,0.0037668795769156826,0.7031766390724082,70475.23407512241,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
36835,1.3023316201471935,0.0008050625540712009,0.1545111994247285,1542910.5424508732,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
38936,1.3013669837649187,0.00015957382820364074,0.03148743837833737,39271426.06133573,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
41158,1.3029285605487309,0.00140200295560855,0.2844304317937342,508747.3284235551,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
43506,1.2992130502675954,0.002313507325526931,0.482553485342274,186835.00242868357,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
45988,1.3042770943537956,0.0027505367606732722,0.5898474618694473,132179.80070927486,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
48612,1.299054760327613,0.002471797265509279,0.5449850539777472,163671.9682530333,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
51385,1.3067759433427582,0.005249385749635849,1.1899443968987125,36289.67042946687,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
54317,1.3010540854882857,0.0004724721048365854,0.11011438564925367,4479686.840672263,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
57416,1.29737291915655,0.004153638436572349,0.9952797231039395,57961.900994304226,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
60692,1.3013911178067907,0.0001354397863315704,0.03336660226651484,54513928.48186289,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
64154,1.298601575041347,0.0029249825517752015,0.7408582981482091,116883.5626288986,1.3015265575931223,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
