method,dist,queries,epsilon,p_hat,true_p,error
classical,lognormal,20,,0.05,0.0460475731244029,0.003952426875597104
classical,lognormal,22,,0.09090909090909091,0.0460475731244029,0.04486151778468801
classical,lognormal,25,,0.04,0.0460475731244029,0.006047573124402898
classical,lognormal,28,,0.0,0.0460475731244029,0.0460475731244029
classical,lognormal,31,,0.03225806451612903,0.0460475731244029,0.013789508608273868
classical,lognormal,35,,0.08571428571428572,0.0460475731244029,0.039666712589882816
classical,lognormal,40,,0.075,0.0460475731244029,0.028952426875597098
classical,lognormal,45,,0.044444444444444446,0.0460475731244029,0.001603128679958453
classical,lognormal,50,,0.06,0.0460475731244029,0.013952426875597099
classical,lognormal,57,,0.05263157894736842,0.0460475731244029,0.006584005822965519
classical,lognormal,64,,0.09375,0.0460475731244029,0.0477024268755971
classical,lognormal,72,,0.06944444444444445,0.0460475731244029,0.02339687132004155
classical,lognormal,81,,0.012345679012345678,0.0460475731244029,0.03370189411205722
classical,lognormal,91,,0.02197802197802198,0.0460475731244029,0.02406955114638092
classical,lognormal,102,,0.0392156862745098,0.0460475731244029,0.006831886849893096
classical,lognormal,114,,0.03508771929824561,0.0460475731244029,0.010959853826157287
classical,lognormal,129,,0.05426356589147287,0.0460475731244029,0.008215992767069968
classical,lognormal,145,,0.05517241379310345,0.0460475731244029,0.009124840668700548
classical,lognormal,162,,0.08024691358024691,0.0460475731244029,0.03419934045584401
classical,lognormal,183,,0.0273224043715847,0.0460475731244029,0.0187251687528182
classical,lognormal,205,,0.04390243902439024,0.0460475731244029,0.002145134100012658
classical,lognormal,231,,0.05194805194805195,0.0460475731244029,0.005900478823649052
classical,lognormal,259,,0.03474903474903475,0.0460475731244029,0.01129853837536815
classical,lognormal,291,,0.044673539518900345,0.0460475731244029,0.0013740336055025545
classical,lognormal,327,,0.03669724770642202,0.0460475731244029,0.009350325417980879
classical,lognormal,367,,0.0326975476839237,0.0460475731244029,0.013350025440479196
classical,lognormal,413,,0.048426150121065374,0.0460475731244029,0.002378576996662475
classical,lognormal,464,,0.03879310344827586,0.0460475731244029,0.007254469676127036
classical,lognormal,521,,0.044145873320537425,0.0460475731244029,0.001901699803865474
classical,lognormal,585,,0.039316239316239315,0.0460475731244029,0.006731333808163584
classical,lognormal,657,,0.0380517503805175,0.0460475731244029,0.007995822743885397
classical,lognormal,739,,0.03924221921515562,0.0460475731244029,0.006805353909247282
classical,lognormal,830,,0.03855421686746988,0.0460475731244029,0.007493356256933016
classical,lognormal,932,,0.05686695278969957,0.0460475731244029,0.010819379665296669
classical,lognormal,1047,,0.05253104106972302,0.0460475731244029,0.0064834679453201205
classical,lognormal,1176,,0.045068027210884355,0.0460475731244029,0.0009795459135185439
classical,lognormal,1321,,0.04769114307342922,0.0460475731244029,0.0016435699490263203
classical,lognormal,1484,,0.03571428571428571,0.0460475731244029,0.010333287410117187
classical,lognormal,1668,,0.044964028776978415,0.0460475731244029,0.0010835443474244838
classical,lognormal,1873,,0.04538174052322477,0.0460475731244029,0.0006658326011781263
classical,lognormal,2104,,0.040399239543726234,0.0460475731244029,0.005648333580676665
classical,lognormal,2364,,0.043993231810490696,0.0460475731244029,0.002054341313912203
classical,lognormal,2656,,0.04442771084337349,0.0460475731244029,0.0016198622810294078
classical,lognormal,2983,,0.038887026483405966,0.0460475731244029,0.007160546640996933
classical,lognormal,3351,,0.03998806326469711,0.0460475731244029,0.00605950985970579
classical,lognormal,3764,,0.04303931987247609,0.0460475731244029,0.003008253251926808
classical,lognormal,4229,,0.04421849136911799,0.0460475731244029,0.0018290817552849073
classical,lognormal,4750,,0.037894736842105266,0.0460475731244029,0.008152836282297633
classical,lognormal,5336,,0.04385307346326837,0.0460475731244029,0.0021944996611345316
classical,lognormal,5994,,0.04371037704371038,0.0460475731244029,0.002337196080692522
classical,lognormal,6734,,0.04499554499554499,0.0460475731244029,0.001052028128857907
classical,lognormal,7564,,0.047858276044420944,0.0460475731244029,0.0018107029200180452
classical,lognormal,8497,,0.05284217959279746,0.0460475731244029,0.006794606468394561
classical,lognormal,9545,,0.04976427448926139,0.0460475731244029,0.0037167013648584935
classical,lognormal,10722,,0.04588696138780078,0.0460475731244029,0.00016061173660211758
classical,lognormal,12045,,0.04474885844748858,0.0460475731244029,0.0012987146769143157
classical,lognormal,13530,,0.04737620103473762,0.0460475731244029,0.0013286279103347232
classical,lognormal,15199,,0.04842423843673926,0.0460475731244029,0.002376665312336358
classical,lognormal,17073,,0.04474901891876062,0.0460475731244029,0.0012985542056422814
classical,lognormal,19179,,0.04504927264195214,0.0460475731244029,0.0009983004824507605
classical,lognormal,21544,,0.048783884144077236,0.0460475731244029,0.0027363110196743368
classical,lognormal,24201,,0.047766621213999425,0.0460475731244029,0.0017190480895965254
classical,lognormal,27185,,0.04587088467905095,0.0460475731244029,0.000176688445351951
classical,lognormal,30538,,0.04587726766651385,0.0460475731244029,0.00017030545788904866
classical,lognormal,34304,,0.04731226679104478,0.0460475731244029,0.0012646936666418779
classical,lognormal,38535,,0.04608797197353055,0.0460475731244029,4.0398849127654124e-05
classical,lognormal,43287,,0.04795897151569755,0.0460475731244029,0.0019113983912946511
classical,lognormal,48626,,0.047258668202196354,0.0460475731244029,0.0012110950777934545
classical,lognormal,54622,,0.04538464355021786,0.0460475731244029,0.0006629295741850394
classical,lognormal,61359,,0.045404912074838245,0.0460475731244029,0.0006426610495646537
classical,lognormal,68926,,0.04449699677915445,0.0460475731244029,0.0015505763452484458
classical,lognormal,77426,,0.04609562679203368,0.0460475731244029,4.805366763078328e-05
classical,lognormal,86974,,0.04635868190493711,0.0460475731244029,0.0003111087805342111
classical,lognormal,97700,,0.04563971340839304,0.0460475731244029,0.00040785971600985904
classical,lognormal,109749,,0.04634210790075536,0.0460475731244029,0.00029453477635246056
classical,lognormal,123284,,0.04698906589662892,0.0460475731244029,0.0009414927722260213
classical,lognormal,138488,,0.04528912252325111,0.0460475731244029,0.0007584506011517889
classical,lognormal,155567,,0.04561378698567177,0.0460475731244029,0.00043378613873112926
classical,lognormal,174752,,0.045544543123969966,0.0460475731244029,0.000503030000432933
classical,lognormal,196304,,0.04655534273371913,0.0460475731244029,0.0005077696093162276
classical,lognormal,220513,,0.04664124110596654,0.0460475731244029,0.000593667981563642
classical,lognormal,247707,,0.045800078318335775,0.0460475731244029,0.00024749480606712365
classical,lognormal,278255,,0.04593268764262996,0.0460475731244029,0.00011488548177293612
classical,lognormal,312571,,0.045631232583956925,0.0460475731244029,0.00041634054044597385
classical,lognormal,351119,,0.04637459095064636,0.0460475731244029,0.00032701782624346143
classical,lognormal,394420,,0.045821712894883626,0.0460475731244029,0.00022586022951927298
classical,lognormal,443062,,0.045332255982232735,0.0460475731244029,0.0007153171421701646
classical,lognormal,497702,,0.045923062394766345,0.0460475731244029,0.00012451072963655385
classical,lognormal,559081,,0.04679286185722641,0.0460475731244029,0.0007452887328235139
classical,lognormal,628029,,0.046088636034323255,0.0460475731244029,4.106290992035577e-05
classical,lognormal,705480,,0.04633866303793162,0.0460475731244029,0.00029108991352871927
classical,lognormal,792482,,0.04587990642058747,0.0460475731244029,0.00016766670381542642
classical,lognormal,890215,,0.046240514931786145,0.0460475731244029,0.00019294180738324562
